# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1024
#@/user_id	fec1feb1-d1b4-4755-bae8-a2e52b553c81
a 	工	c=1 d=0.985112 t=1024
aawt 	工作	c=1 d=0.946485 t=1024
abrn 	节气	c=1 d=0.644036 t=1024
adhh 	项目	c=1 d=0.0761538 t=1024
adm 	项	c=1 d=0.839457 t=1024
adwb 	其他	c=1 d=0.244143 t=1024
aghg 	廿	c=1 d=0.66365 t=1024
amw 	黄	c=1 d=0.321422 t=1024
amyg 	英语	c=3 d=1.92796 t=1024
aps 	荣	c=1 d=0.304221 t=1024
apta 	荣升	c=1 d=0.474734 t=1024
aq 	区	c=2 d=0.478638 t=1024
aqbc 	获取	c=1 d=0.102284 t=1024
av 	切	c=1 d=0.548812 t=1024
avrq 	切换	c=3 d=1.20977 t=1024
b 	了	c=11 d=5.39327 t=1024
bc 	取	c=3 d=1.28912 t=1024
bdwg 	随便	c=1 d=0.275271 t=1024
bm 	出	c=1 d=0.0424257 t=1024
bn 	也	c=2 d=1.2154 t=1024
bsjf 	阿里	c=1 d=0.145148 t=1024
buk 	陪	c=1 d=1 t=1021
c 	以	c=2 d=1.09122 t=1024
ccc 	又	c=1 d=1 t=1005
ce 	能	c=2 d=1.2222 t=1024
cf 	对	c=2 d=0.123671 t=1024
cmd 	⌘	c=1 d=0.554327 t=1024
cwtl 	验血	c=1 d=0.67032 t=1024
cwyg 	验证	c=2 d=0.877144 t=1024
cxkg 	双引号	c=1 d=0.701173 t=1024
d 	在	c=6 d=2.74096 t=1024
dcg 	码	c=2 d=1.58909 t=1024
dd 	大	c=2 d=0.497419 t=1024
dddd 	大厦	c=1 d=0.308819 t=1024
ddpe 	大家	c=2 d=1.73874 t=1024
deqg 	有钱	c=2 d=0.0782942 t=1024
dg 	三	c=1 d=0.10383 t=1024
dhdh 	存在	c=1 d=0.0930145 t=1024
dhpg 	丰富	c=1 d=0.603506 t=1024
djip 	非常	c=2 d=0.0776432 t=1024
dl 	历	c=1 d=0.737123 t=1024
dmjg 	而是	c=1 d=0.0788664 t=1024
dnal 	成功	c=1 d=0.0939493 t=1024
dntr 	万物	c=1 d=0.0898153 t=1024
drgo 	原来	c=1 d=0.516851 t=1024
e 	有	c=16 d=4.59432 t=1024
ebtl 	服务	c=6 d=1.22989 t=1024
edm 	须	c=3 d=2.51069 t=1024
eee 	月	c=1 d=0.551563 t=1024
efsg 	脚本	c=1 d=0.109154 t=1024
et 	用	c=4 d=1.23475 t=1024
etyn 	用户	c=8 d=3.82001 t=1024
eud 	腾	c=4 d=0.669586 t=1024
f 	地	c=1 d=0.0461896 t=1024
faqk 	域名	c=3 d=0.443614 t=1024
fcap 	运营	c=1 d=0.621885 t=1024
fctf 	运行	c=4 d=2.12715 t=1024
fcu 	去	c=2 d=1.10031 t=1024
fcu 	支	c=1 d=0.145876 t=1024
fg 	二	c=2 d=0.936973 t=1024
fge 	博	c=1 d=0.191092 t=1024
fgfh 	越来越	c=1 d=0.847894 t=1024
fgxe 	二级	c=3 d=0.841765 t=1024
fgyy 	博文	c=1 d=0.292293 t=1024
fhgo 	起来	c=2 d=1.48387 t=1024
fhn 	起	c=1 d=0.806541 t=1024
fhru 	直接	c=1 d=0.301194 t=1024
fhvk 	超	c=1 d=0.305746 t=1024
fii 	未	c=2 d=0.211864 t=1024
